-0.08368502705 + 0.03270750901im,-0.13682966449 + 0.05367652651im,-0.1505910958 + 0.0im,-0.09936437569 - 0.0im,-0.01195498479 + 0.0im,0.07980770956 - 0.0im,-0.14250912252 - 0.0im,0.15331708141 + 0.0im,-0.10829596226 - 0.0im,-0.02383981297 + 0.0im,-0.0692973963 - 0.0im,-0.13720056309 - 0.0im,0.13962058368 - 0.06764280451im,-0.11659202507 + 0.0im,0.03558473964 - 0.0im,-0.05838041837 - 0.0im,0.1310868562 - 0.0im,0.15605915862 + 0.0im,-0.10483273964 + 0.06660856091im,0.04712084092 - 0.0im,-0.04712084092 + 0.0im,0.09827539822 - 0.07595096964im,0.15605915862 + 0.0im,-0.1310868562 + 0.0im,-0.05838041837 + 0.0im,0.02370746191 - 0.02653733117im,0.07208170312 - 0.09164021162im,0.08678894962 - 0.12859679083im,-0.06659568293 + 0.11995419762im,-0.0692973963 + 0.0im,0.02383981297 + 0.0im,0.0 + 0.0525374204im,0.0 - 0.08721498558im,-0.0 + 0.091556662im,0.1156967988 - 0.0im,-0.18868121119 - 0.0im,0.19228295273 - 0.0im,-0.0 - 0.06248889474im,-0.12586380078 + 0.0im,-0.0 + 0.0078506242im,0.01497367764 - 0.0im,-0.09841117955 + 0.0im,0.0 - 0.0552610238im,-0.17190637765 - 0.0im,0.0 - 0.1051945689im,0.17894649204 - 0.0im,-0.0 + 0.12243532125im,0.11893813174 - 0.0im,0.0 + 0.09648705459im,0.02383981297 + 0.0im,-0.0692973963 + 0.0im,-0.13720056309 + 0.0im,-0.15514334143 + 0.0im,-0.07208170312 - 0.09164021162im,-0.03558473964 + 0.0im,-0.05838041837 + 0.0im,-0.1310868562 + 0.0im,0.11975748495 + 0.10006300909im,-0.09827539822 - 0.07595096964im,-0.04712084092 + 0.0im,0.04712084092 + 0.0im,0.10483273964 + 0.06660856091im,0.15605915862 + 0.0im,-0.11380451025 - 0.06505610898im,-0.05838041837 - 0.0im,-0.03558473964 - 0.0im,-0.10418515082 - 0.05233693398im,-0.13962058368 - 0.06764280451im,-0.13720056309 + 0.0im,-0.06307909797 - 0.02869070465im,-0.02383981297 - 0.0im,-0.09941519506 - 0.04294920761im,0.14121435298 + 0.05970455564im,0.08368502705 + 0.03270750901im,0.07388950925 + 0.03015975677im,-0.13163045193 - 0.05461020167im,-0.09936437569 + 0.0im,-0.1505910958 + 0.0im,0.14698138176 + 0.0im,0.01195498479 - 0.0im
0.07433204408 - 0.02905198322im,0.12772438789 - 0.05010464301im,0.15605915862 + 0.0im,0.1310868562 + 0.0im,0.0692973963 + 0.0im,-0.01195498479 + 0.0im,0.08984967945 + 0.0im,-0.14250912252 - 0.0im,0.15514334143 + 0.0im,0.12420387951 + 0.0im,-0.05838041837 + 0.0im,0.02383981297 + 0.0im,-0.08942254307 + 0.04332306484im,0.14698138176 + 0.0im,-0.15331708141 + 0.0im,-0.11659202507 + 0.0im,0.04712084092 - 0.0im,-0.03558473964 - 0.0im,0.09140585995 - 0.05807739844im,-0.1505910958 + 0.0im,-0.1505910958 + 0.0im,0.08568837672 - 0.06622324016im,0.03558473964 + 0.0im,0.04712084092 - 0.0im,0.11659202507 - 0.0im,0.10214375331 - 0.11433626333im,0.09086957978 - 0.11552595403im,0.05558556182 - 0.08236215438im,-0.01157158972 + 0.02084310422im,0.05838041837 + 0.0im,0.12420387951 + 0.0im,0.0 + 0.04666562211im,0.0 - 0.08141129842im,-0.0 + 0.09488114527im,0.1027660485 - 0.0im,-0.17612549365 - 0.0im,0.19926487461 - 0.0im,-0.0 - 0.08243872818im,-0.16604633038 + 0.0im,-0.0 + 0.0455063579im,0.08679533202 - 0.0im,-0.01474173561 + 0.0im,0.0 - 0.00827795588im,-0.10838416976 - 0.0im,0.0 - 0.06632346147im,0.16633180938 - 0.0im,0.0 + 0.11380434611im,0.17038917053 - 0.0im,0.0 + 0.13822605885im,0.12420387951 - 0.0im,0.05838041837 + 0.0im,-0.02383981297 + 0.0im,-0.09936437569 + 0.0im,-0.09086957978 - 0.11552595403im,-0.15331708141 + 0.0im,0.11659202507 + 0.0im,0.04712084092 - 0.0im,0.02730720171 + 0.02281645088im,-0.08568837672 - 0.06622324016im,-0.1505910958 + 0.0im,-0.1505910958 - 0.0im,-0.09140585995 - 0.05807739844im,-0.03558473964 - 0.0im,-0.04090848144 - 0.02338524739im,-0.11659202507 + 0.0im,0.15331708141 + 0.0im,0.13134069347 + 0.06597839663im,0.08942254307 + 0.04332306484im,0.02383981297 - 0.0im,-0.05314173874 - 0.02417082647im,0.12420387951 + 0.0im,0.14242087357 + 0.06152845813im,-0.13125956577 - 0.05549573314im,-0.07433204408 - 0.02905198322im,-0.01106845396 - 0.00451785216im,0.08299085492 + 0.03443084224im,0.1310868562 - 0.0im,0.15605915862 + 0.0im,-0.13720056309 - 0.0im,-0.0692973963 + 0.0im
-0.06454285112 + 0.02522596884im,-0.11562535988 + 0.04535834914im,-0.15331708141 - 0.0im,-0.1505910958 - 0.0im,-0.11659202507 - 0.0im,-0.05838041837 + 0.0im,-0.01195498479 - 0.0im,0.07980770956 + 0.0im,-0.1310868562 - 0.0im,-0.15514334143 - 0.0im,0.14698138176 - 0.0im,0.10829596226 + 0.0im,-0.04240619837 + 0.02054478008im,-0.02383981297 - 0.0im,0.08984967945 + 0.0im,0.13720056309 - 0.0im,-0.15605915862 + 0.0im,-0.14250912252 + 0.0im,0.08386726539 - 0.05328753092im,-0.03558473964 + 0.0im,0.03558473964 - 0.0im,-0.07862132511 + 0.06076155359im,-0.14250912252 + 0.0im,0.15605915862 + 0.0im,0.13720056309 - 0.0im,0.05986015001 - 0.06700542768im,0.0147386952 - 0.01873786396im,-0.02635993431 + 0.0390580019im,0.05256569946 - 0.09468295878im,0.14698138176 - 0.0im,0.15514334143 - 0.0im,0.0 + 0.0405199714im,0.0 - 0.07369939942im,-0.0 + 0.09321401194im,0.08923222617 - 0.0im,-0.15944154382 - 0.0im,0.19576364035 - 0.0im,-0.0 - 0.09470467729im,-0.19075214381 - 0.0im,-0.0 + 0.07656389278im,0.14603208874 - 0.0im,0.07198910814 + 0.0im,-0.0 + 0.04042418591im,-0.01442109875 - 0.0im,0.0 - 0.00882469451im,0.09314884899 - 0.0im,0.0 + 0.06373251088im,0.1439686711 - 0.0im,0.0 + 0.11679276295im,0.15514334143 - 0.0im,0.14698138176 - 0.0im,0.10829596226 - 0.0im,0.04712084092 - 0.0im,-0.0147386952 - 0.01873786396im,-0.08984967945 + 0.0im,0.13720056309 + 0.0im,0.15605915862 - 0.0im,-0.10935938811 - 0.09137491031im,0.07862132511 + 0.06076155359im,0.03558473964 + 0.0im,-0.03558473964 - 0.0im,-0.08386726539 - 0.05328753092im,-0.14250912252 + 0.0im,0.13548449197 + 0.07744942495im,0.13720056309 + 0.0im,-0.08984967945 + 0.0im,-0.02130295368 - 0.01070144134im,0.04240619837 + 0.02054478008im,0.10829596226 - 0.0im,0.13379222705 + 0.06085364874im,-0.15514334143 - 0.0im,-0.12033713082 - 0.05198787179im,0.07350775246 + 0.03107862342im,0.06454285112 + 0.02522596884im,-0.05405117484 - 0.02206226977im,-0.01104238116 - 0.00458120939im,-0.1505910958 + 0.0im,-0.15331708141 - 0.0im,0.12420387951 + 0.0im,0.11659202507 - 0.0im
0.05437489505 - 0.02125191844im,0.10081617145 - 0.03954889402im,0.14250912252 + 0.0im,0.15605915862 + 0.0im,0.14698138176 + 0.0im,0.11659202507 - 0.0im,-0.0692973963 - 0.0im,0.01195498479 - 0.0im,0.04712084092 - 0.0im,0.09936437569 + 0.0im,-0.13720056309 + 0.0im,-0.15514334143 - 0.0im,0.13552380978 - 0.06565801639im,-0.12420387951 + 0.0im,0.07980770956 - 0.0im,0.02383981297 - 0.0im,0.03558473964 - 0.0im,0.08984967945 - 0.0im,-0.1106422305 + 0.0702997916im,0.15331708141 - 0.0im,0.15331708141 + 0.0im,-0.10372150247 + 0.08015992636im,-0.08984967945 - 0.0im,0.03558473964 + 0.0im,-0.02383981297 + 0.0im,-0.05316993333 + 0.05951662537im,-0.07678764618 + 0.09762305608im,-0.08424237165 + 0.12482347918im,0.07530491524 - 0.13564153542im,0.13720056309 - 0.0im,0.09936437569 - 0.0im,0.0 + 0.03413653339im,0.0 - 0.06426004896im,-0.0 + 0.08664296845im,0.07517475365 - 0.0im,-0.13902041934 - 0.0im,0.18196344694 - 0.0im,-0.0 - 0.09814346709im,-0.19767848099 + 0.0im,-0.0 + 0.09652003855im,0.18409490847 - 0.0im,0.143770054 + 0.0im,-0.0 + 0.08073148204im,0.08359229338 - 0.0im,-0.0 + 0.05115258309im,-0.01395345235 + 0.0im,0.0 - 0.00954696234im,0.05175137344 - 0.0im,0.0 + 0.04198264695im,0.09936437569 - 0.0im,0.13720056309 + 0.0im,0.15514334143 - 0.0im,0.1505910958 - 0.0im,0.07678764618 + 0.09762305608im,0.07980770956 + 0.0im,-0.02383981297 - 0.0im,0.03558473964 + 0.0im,-0.0689493121 - 0.05761039193im,0.10372150247 + 0.08015992636im,0.15331708141 + 0.0im,0.15331708141 + 0.0im,0.1106422305 + 0.0702997916im,0.08984967945 - 0.0im,-0.03089328698 - 0.01766008254im,0.02383981297 - 0.0im,-0.07980770956 - 0.0im,-0.11098700714 - 0.05575381539im,-0.13552380978 - 0.06565801639im,-0.15514334143 + 0.0im,-0.12488907553 - 0.05680416644im,0.09936437569 + 0.0im,0.04325671515 + 0.018687703im,0.0110112678 + 0.00465549597im,-0.05437489505 - 0.02125191844im,0.10794605637 + 0.04406074471im,-0.06400746445 - 0.02655510553im,0.15605915862 + 0.0im,0.14250912252 + 0.0im,-0.10829596226 - 0.0im,-0.14698138176 + 0.0im
-0.04388784547 + 0.01715315334im,-0.0836439374 + 0.03281244633im,-0.12420387951 - 0.0im,-0.14698138176 - 0.0im,-0.15605915862 - 0.0im,-0.1505910958 + 0.0im,0.1310868562 + 0.0im,-0.09936437569 + 0.0im,0.05838041837 + 0.0im,0.01195498479 - 0.0im,0.03558473964 - 0.0im,0.07980770956 + 0.0im,-0.10492649212 + 0.05083435413im,0.14250912252 + 0.0im,-0.15514334143 + 0.0im,-0.15331708141 + 0.0im,0.13720056309 - 0.0im,0.10829596226 + 0.0im,-0.05848960542 + 0.03716308911im,0.02383981297 - 0.0im,-0.02383981297 + 0.0im,0.05483105073 - 0.04237552372im,0.10829596226 - 0.0im,-0.13720056309 + 0.0im,-0.15331708141 + 0.0im,-0.10336045435 + 0.11569819733im,-0.088104656 + 0.11201080123im,-0.06522290481 + 0.09664198362im,0.03873780691 - 0.06977573233im,0.03558473964 - 0.0im,-0.01195498479 - 0.0im,0.0 + 0.02755276862im,0.0 - 0.05331449742im,-0.0 + 0.07551371185im,0.06067612578 - 0.0im,-0.11534077406 - 0.0im,0.15859031084 - 0.0im,-0.0 - 0.09243457757im,-0.18617975732 + 0.0im,-0.0 + 0.10248125188im,0.19546486895 - 0.0im,0.18569443289 + 0.0im,-0.0 + 0.10427336123im,0.15812788829 + 0.0im,-0.0 + 0.09676310599im,-0.11597472571 + 0.0im,0.0 - 0.07934999249im,-0.06411742179 + 0.0im,-0.0 - 0.05201444722im,-0.01195498479 + 0.0im,0.03558473964 - 0.0im,0.07980770956 - 0.0im,0.11659202507 - 0.0im,0.088104656 + 0.11201080123im,0.15514334143 - 0.0im,-0.15331708141 - 0.0im,-0.13720056309 + 0.0im,0.08310471609 + 0.06943789748im,-0.05483105073 - 0.04237552372im,-0.02383981297 - 0.0im,0.02383981297 + 0.0im,0.05848960542 + 0.03716308911im,0.10829596226 + 0.0im,-0.11911219279 - 0.06809023455im,-0.15331708141 + 0.0im,0.15514334143 + 0.0im,0.1273443395 + 0.06397084649im,0.10492649212 + 0.05083435413im,0.07980770956 - 0.0im,0.03239159619 + 0.01473289488im,0.01195498479 - 0.0im,0.05359295544 + 0.02315315046im,-0.09152063093 - 0.0386943571im,0.04388784547 + 0.01715315334im,-0.13942390061 - 0.05690917388im,0.12108012328 + 0.05023313264im,-0.14698138176 - 0.0im,-0.12420387951 - 0.0im,0.08984967945 + 0.0im,0.15605915862 + 0.0im
0.03314324456 - 0.01295372671im,0.06451116035 - 0.02530690272im,0.09936437569 + 0.0im,0.12420387951 + 0.0im,0.14250912252 + 0.0im,0.15331708141 - 0.0im,-0.15605915862 - 0.0im,0.1505910958 - 0.0im,-0.13720056309 - 0.0im,-0.11659202507 - 0.0im,0.08984967945 - 0.0im,0.05838041837 + 0.0im,-0.02145453727 + 0.01039420573im,-0.01195498479 - 0.0im,0.04712084092 + 0.0im,0.07980770956 - 0.0im,-0.10829596226 + 0.0im,-0.1310868562 + 0.0im,0.1240578071 - 0.07882377231im,-0.15514334143 - 0.0im,-0.15514334143 - 0.0im,0.1162979279 - 0.08987946679im,0.1310868562 - 0.0im,-0.10829596226 + 0.0im,-0.07980770956 + 0.0im,-0.03139310706 + 0.03514038244im,-0.00739103437 + 0.00939650319im,0.0133362625 - 0.01976058665im,-0.02833722941 + 0.05104189141im,-0.08984967945 + 0.0im,-0.11659202507 + 0.0im,0.0 + 0.02080731326im,0.0 - 0.04111929924im,-0.0 + 0.06041174288im,0.04582142628 - 0.0im,-0.08895763879 - 0.0im,0.12687387294 - 0.0im,-0.0 - 0.07811011843im,-0.15732773681 + 0.0im,-0.0 + 0.09358318608im,0.17849338163 - 0.0im,0.18905585575 + 0.0im,-0.0 + 0.10616090764im,0.1882515602 + 0.0im,-0.0 + 0.11519666688im,-0.17576481419 + 0.0im,0.0 - 0.12025841493im,-0.15068316775 + 0.0im,-0.0 - 0.12223981341im,-0.11659202507 + 0.0im,-0.08984967945 + 0.0im,-0.05838041837 + 0.0im,-0.02383981297 + 0.0im,0.00739103437 + 0.00939650319im,0.04712084092 - 0.0im,-0.07980770956 - 0.0im,-0.10829596226 + 0.0im,0.10059411025 + 0.08405110856im,-0.1162979279 - 0.08987946679im,-0.15514334143 + 0.0im,-0.15514334143 + 0.0im,-0.1240578071 - 0.07882377231im,-0.1310868562 + 0.0im,0.09401834253 + 0.05374538781im,0.07980770956 + 0.0im,-0.04712084092 + 0.0im,-0.01068282236 - 0.00536646695im,0.02145453727 + 0.01039420573im,0.05838041837 + 0.0im,0.0817871527 + 0.03719981924im,-0.11659202507 - 0.0im,-0.12594948562 - 0.05441251312im,0.1387035545 + 0.05864300557im,-0.03314324456 - 0.01295372671im,0.14194773873 + 0.0579393383im,-0.14414612352 - 0.05980264263im,0.12420387951 + 0.0im,0.09936437569 + 0.0im,-0.0692973963 - 0.0im,-0.14250912252 - 0.0im
-0.02220414591 + 0.00867828246im,-0.04386629638 + 0.01720818676im,-0.0692973963 - 0.0im,-0.08984967945 - 0.0im,-0.10829596226 - 0.0im,-0.12420387951 + 0.0im,0.13720056309 + 0.0im,-0.14698138176 + 0.0im,0.15331708141 + 0.0im,0.15605915862 + 0.0im,-0.15514334143 + 0.0im,-0.1505910958 + 0.0im,0.12825047265 - 0.06213426002im,-0.1310868562 + 0.0im,0.11659202507 - 0.0im,0.09936437569 - 0.0im,-0.07980770956 + 0.0im,-0.05838041837 + 0.0im,0.03003485689 - 0.01908352869im,-0.01195498479 - 0.0im,0.01195498479 + 0.0im,-0.02815616125 + 0.02176015348im,-0.05838041837 + 0.0im,0.07980770956 - 0.0im,0.09936437569 - 0.0im,0.0776765833 - 0.08694854062im,0.08104296881 - 0.10303300964im,0.07972122388 - 0.11812441096im,-0.073095304 + 0.13166151551im,-0.15514334143 + 0.0im,-0.15605915862 + 0.0im,0.0 + 0.0139397523im,0.0 - 0.02796029955im,-0.0 + 0.04213156334im,0.03069782843 - 0.0im,-0.06048941186 - 0.0im,0.08848270814 - 0.0im,-0.0 - 0.05650523261im,-0.11381163597 + 0.0im,-0.0 + 0.07111601706im,0.13564122899 - 0.0im,0.15315625964 + 0.0im,-0.0 + 0.08600213662im,0.16550275095 + 0.0im,-0.0 + 0.10127600137im,-0.17155167851 + 0.0im,0.0 - 0.11737578441im,-0.1683834452 + 0.0im,-0.0 - 0.13659893955im,-0.15605915862 + 0.0im,-0.15514334143 - 0.0im,-0.1505910958 + 0.0im,-0.14250912252 + 0.0im,-0.08104296881 - 0.10303300964im,-0.11659202507 - 0.0im,0.09936437569 + 0.0im,0.07980770956 + 0.0im,-0.04480026764 - 0.0374327299im,0.02815616125 + 0.02176015348im,0.01195498479 + 0.0im,-0.01195498479 - 0.0im,-0.03003485689 - 0.01908352869im,-0.05838041837 + 0.0im,0.06928594952 + 0.03960716735im,0.09936437569 - 0.0im,-0.11659202507 - 0.0im,-0.11713754758 - 0.05884351125im,-0.12825047265 - 0.06213426002im,-0.1505910958 + 0.0im,-0.14122178546 - 0.06423288644im,0.15605915862 + 0.0im,0.14074437528 + 0.06080417978im,-0.13537878842 - 0.05723731501im,0.02220414591 + 0.00867828246im,-0.11499344806 - 0.04693730488im,0.1267271302 + 0.0525759354im,-0.08984967945 - 0.0im,-0.0692973963 - 0.0im,0.04712084092 + 0.0im,0.10829596226 - 0.0im
0.01113474451 - 0.0043519106im,0.0221932436 - 0.00870612548im,0.03558473964 + 0.0im,0.04712084092 + 0.0im,0.05838041837 + 0.0im,0.0692973963 - 0.0im,-0.07980770956 - 0.0im,0.08984967945 - 0.0im,-0.09936437569 - 0.0im,-0.10829596226 - 0.0im,0.11659202507 - 0.0im,0.12420387951 + 0.0im,-0.11797105313 + 0.05715412925im,0.13720056309 - 0.0im,-0.14250912252 + 0.0im,-0.14698138176 + 0.0im,0.1505910958 - 0.0im,0.15331708141 - 0.0im,-0.13094680764 + 0.08320090119im,0.15605915862 + 0.0im,0.15605915862 + 0.0im,-0.12275601793 + 0.09487052466im,-0.15331708141 + 0.0im,0.1505910958 - 0.0im,0.14698138176 - 0.0im,0.0949432152 - 0.10627622448im,0.08482269907 - 0.10783832452im,0.07333147819 - 0.10865660667im,-0.06028723201 + 0.1085912213im,-0.11659202507 + 0.0im,-0.10829596226 - 0.0im,0.0 + 0.00699038734im,0.0 - 0.01414593413im,-0.0 + 0.02163487796im,0.01539408352 - 0.0im,-0.03060336439 - 0.0im,0.04543654308 - 0.0im,-0.0 - 0.02963365137im,-0.05968746941 + 0.0im,-0.0 + 0.03833737419im,0.07312176309 - 0.0im,0.0854508737 + 0.0im,-0.0 + 0.04798339768im,0.09627070897 + 0.0im,-0.0 + 0.05891087851im,-0.1048694953 + 0.0im,0.0 - 0.07175178569im,-0.10912884432 + 0.0im,-0.0 - 0.08852939427im,-0.10829596226 - 0.0im,-0.11659202507 - 0.0im,-0.12420387951 + 0.0im,-0.1310868562 + 0.0im,-0.08482269907 - 0.10783832452im,-0.14250912252 + 0.0im,0.14698138176 + 0.0im,0.1505910958 + 0.0im,-0.11765325555 - 0.09830482649im,0.12275601793 + 0.09487052466im,0.15605915862 + 0.0im,0.15605915862 + 0.0im,0.13094680764 + 0.08320090119im,0.15331708141 - 0.0im,-0.1307373325 - 0.07473572121im,-0.14698138176 - 0.0im,0.14250912252 + 0.0im,0.1226006783 + 0.06158788998im,0.11797105313 + 0.05715412925im,0.12420387951 - 0.0im,0.10612981388 + 0.04827176106im,-0.10829596226 - 0.0im,-0.09121603968 - 0.03940702046im,0.08275701724 + 0.0349891554im,-0.01113474451 - 0.0043519106im,0.06415859612 + 0.02618785364im,-0.07371545548 - 0.03058270964im,0.04712084092 + 0.0im,0.03558473964 + 0.0im,-0.02383981297 - 0.0im,-0.05838041837 + 0.0im
0.01195498479 + 0.0im,-0.02383981297 - 0.0im,0.03309958825 + 0.01306487478im,-0.04377853896 - 0.01743023741im,0.05415585203 + 0.02180405786im,-0.06415859612 - 0.02618785364im,-0.07371545548 - 0.03058270964im,-0.08275701724 - 0.0349891554im,-0.09121603968 - 0.03940702046im,0.09902769923 + 0.04383526238im,0.10612981388 + 0.04827176106im,-0.11246304164 - 0.0527130719im,-0.1310868562 - 0.0im,-0.1226006783 - 0.06158788998im,-0.12630202841 - 0.06600490604im,0.12902859549 + 0.07039281305im,0.1307373325 + 0.07473572121im,-0.13138871796 - 0.07901349408im,-0.15514334143 + 0.0im,-0.12937927086 - 0.08726663315im,0.12665739588 + 0.09117217261im,0.15514334143 - 0.0im,-0.11765325555 - 0.09830482649im,-0.1113297911 - 0.10140688215im,0.10376709643 + 0.10409570731im,-0.14250912252 + 0.0im,0.13720056309 + 0.0im,-0.1310868562 - 0.0im,-0.12420387951 + 0.0im,0.0451610893 + 0.10749035456im,-0.02572996772 - 0.10519498184im,0.01539408352 + 0.0im,0.03060336439 + 0.0im,0.04543654308 + 0.0im,0.0 - 0.00699038734im,0.0 - 0.01414593413im,-0.0 - 0.02163487796im,0.05968746941 - 0.0im,-0.0 - 0.02963365137im,0.07312176309 + 0.0im,-0.0 - 0.03833737419im,-0.0 + 0.04798339768im,-0.0854508737 - 0.0im,-0.0 - 0.05891087851im,0.09627070897 + 0.0im,-0.0 - 0.07175178569im,0.1048694953 - 0.0im,0.0 + 0.08852939427im,-0.10912884432 + 0.0im,0.02572996772 - 0.10519498184im,-0.0451610893 + 0.10749035456im,0.06028723201 - 0.1085912213im,-0.07333147819 + 0.10865660667im,0.13720056309 + 0.0im,-0.0949432152 + 0.10627622448im,-0.10376709643 + 0.10409570731im,0.1113297911 - 0.10140688215im,0.15331708141 - 0.0im,0.15514334143 - 0.0im,-0.12665739588 + 0.09117217261im,0.12937927086 - 0.08726663315im,-0.15514334143 - 0.0im,0.13138871796 - 0.07901349408im,0.1505910958 - 0.0im,-0.12902859549 + 0.07039281305im,-0.12630202841 + 0.06600490604im,0.13720056309 + 0.0im,-0.1310868562 - 0.0im,0.11246304164 - 0.0527130719im,-0.11659202507 - 0.0im,-0.09902769923 + 0.04383526238im,0.09936437569 - 0.0im,0.08984967945 + 0.0im,0.01195498479 - 0.0im,0.0692973963 + 0.0im,0.07980770956 - 0.0im,0.04377853896 - 0.01743023741im,-0.03309958825 + 0.01306487478im,-0.0221932436 + 0.00870612548im,0.05415585203 - 0.02180405786im
-0.02383981297 - 0.0im,0.04712084092 + 0.0im,-0.06445783523 - 0.02544241757im,0.08347660218 + 0.03323585092im,-0.10045937101 - 0.04044663422im,0.11499344806 + 0.04693730488im,0.1267271302 + 0.0525759354im,0.13537878842 + 0.05723731501im,0.14074437528 + 0.06080417978im,-0.14270319132 - 0.06316850621im,-0.14122178546 - 0.06423288644im,0.13635590728 + 0.06391200736im,0.14250912252 - 0.0im,0.11713754758 + 0.05884351125im,0.10333239727 + 0.05400107392im,-0.08722768615 - 0.04758791786im,-0.06928594952 - 0.03960716735im,0.05003048749 + 0.03008693355im,0.03558473964 + 0.0im,0.00991115951 + 0.00668510122im,0.00970264901 + 0.00698428689im,0.03558473964 + 0.0im,-0.04480026764 - 0.0374327299im,-0.05900067057 - 0.05374189593im,0.07015006004 + 0.07037221208im,-0.11659202507 + 0.0im,0.1310868562 + 0.0im,-0.14250912252 - 0.0im,-0.1505910958 + 0.0im,0.06009366672 + 0.14303219081im,-0.03707799469 - 0.15159051191im,0.03069782843 + 0.0im,0.06048941186 + 0.0im,0.08848270814 + 0.0im,0.0 - 0.0139397523im,0.0 - 0.02796029955im,-0.0 - 0.04213156334im,0.11381163597 - 0.0im,-0.0 - 0.05650523261im,0.13564122899 + 0.0im,-0.0 - 0.07111601706im,-0.0 + 0.08600213662im,-0.15315625964 - 0.0im,-0.0 - 0.10127600137im,0.16550275095 + 0.0im,-0.0 - 0.11737578441im,0.17155167851 - 0.0im,-0.0 + 0.13659893955im,-0.1683834452 + 0.0im,0.03707799469 - 0.15159051191im,-0.06009366672 + 0.14303219081im,0.073095304 - 0.13166151551im,-0.07972122388 + 0.11812441096im,0.1310868562 + 0.0im,-0.0776765833 + 0.08694854062im,-0.07015006004 + 0.07037221208im,0.05900067057 - 0.05374189593im,0.05838041837 - 0.0im,0.03558473964 + 0.0im,-0.00970264901 + 0.00698428689im,-0.00991115951 + 0.00668510122im,0.03558473964 + 0.0im,-0.05003048749 + 0.03008693355im,-0.07980770956 + 0.0im,0.08722768615 - 0.04758791786im,0.10333239727 - 0.05400107392im,-0.1310868562 - 0.0im,0.14250912252 + 0.0im,-0.13635590728 + 0.06391200736im,0.15514334143 + 0.0im,0.14270319132 - 0.06316850621im,-0.15331708141 + 0.0im,-0.14698138176 - 0.0im,-0.02383981297 + 0.0im,-0.12420387951 - 0.0im,-0.13720056309 - 0.0im,-0.08347660218 + 0.03323585092im,0.06445783523 - 0.02544241757im,0.04386629638 - 0.01720818676im,-0.10045937101 + 0.04044663422im
0.03558473964 + 0.0im,-0.0692973963 - 0.0im,0.09242501014 + 0.03648145634im,-0.11539404372 - 0.04594364329im,0.13219677366 + 0.0532246469im,-0.14194773873 - 0.0579393383im,-0.14414612352 - 0.05980264263im,-0.1387035545 - 0.05864300557im,-0.12594948562 - 0.05441251312im,0.10661376241 + 0.04719328314im,0.0817871527 + 0.03719981924im,-0.05286179021 - 0.02477709395im,-0.02383981297 - 0.0im,0.01068282236 + 0.00536646695im,0.04176194256 + 0.02182461461im,-0.07005973513 - 0.03822177416im,-0.09401834253 - 0.05374538781im,0.11233799795 + 0.06755692478im,0.14698138176 - 0.0im,0.12862002185 + 0.08675451785im,-0.12591411992 - 0.09063713805im,-0.14698138176 + 0.0im,0.10059411025 + 0.08405110856im,0.08006161846 + 0.07292566552im,-0.05634328781 - 0.0565217164im,0.04712084092 - 0.0im,-0.01195498479 + 0.0im,-0.02383981297 - 0.0im,-0.05838041837 - 0.0im,0.03480263247 + 0.08283563044im,-0.02770102392 - 0.11325349259im,0.04582142628 + 0.0im,0.08895763879 + 0.0im,0.12687387294 + 0.0im,0.0 - 0.02080731326im,0.0 - 0.04111929924im,-0.0 - 0.06041174288im,0.15732773681 - 0.0im,-0.0 - 0.07811011843im,0.17849338163 + 0.0im,-0.0 - 0.09358318608im,-0.0 + 0.10616090764im,-0.18905585575 - 0.0im,-0.0 - 0.11519666688im,0.1882515602 + 0.0im,-0.0 - 0.12025841493im,0.17576481419 - 0.0im,-0.0 + 0.12223981341im,-0.15068316775 + 0.0im,0.02770102392 - 0.11325349259im,-0.03480263247 + 0.08283563044im,0.02833722941 - 0.05104189141im,-0.0133362625 + 0.01976058665im,-0.01195498479 + 0.0im,0.03139310706 - 0.03514038244im,0.05634328781 - 0.0565217164im,-0.08006161846 + 0.07292566552im,-0.1310868562 + 0.0im,-0.14698138176 - 0.0im,0.12591411992 - 0.09063713805im,-0.12862002185 + 0.08675451785im,0.14698138176 - 0.0im,-0.11233799795 + 0.06755692478im,-0.10829596226 + 0.0im,0.07005973513 - 0.03822177416im,0.04176194256 - 0.02182461461im,-0.01195498479 + 0.0im,-0.02383981297 + 0.0im,0.05286179021 - 0.02477709395im,-0.08984967945 - 0.0im,-0.10661376241 + 0.04719328314im,0.13720056309 + 0.0im,0.1505910958 + 0.0im,0.03558473964 - 0.0im,0.15331708141 + 0.0im,0.15605915862 + 0.0im,0.11539404372 - 0.04594364329im,-0.09242501014 + 0.03648145634im,-0.06451116035 + 0.02530690272im,0.13219677366 - 0.0532246469im
